po_number,supplier_id,supplier_name,part_number,expected_date,received_date,qty_ordered,qty_received,inbound_lead_time_days,discrepancy_qty,warehouse_id
PO10000,SUP-003,Supplier C,CL-7781,2026-01-15T00:00:00Z,2026-01-22T00:00:00Z,398,384,7,14,WH-01
PO10001,SUP-003,Supplier C,MN-5544,2024-11-20T00:00:00Z,2024-12-01T00:00:00Z,121,101,11,20,WH-01
PO10002,SUP-003,Supplier C,ZX-9910,2025-08-18T00:00:00Z,2025-08-25T00:00:00Z,171,153,7,18,WH-01
PO10003,SUP-002,Supplier B,MN-5544,2024-12-19T00:00:00Z,2024-12-26T00:00:00Z,380,370,7,10,WH-01
PO10004,SUP-003,Supplier C,ZX-9910,2024-03-07T00:00:00Z,2024-03-15T00:00:00Z,149,110,8,39,WH-01
PO10005,SUP-002,Supplier B,ZX-9910,2025-05-13T00:00:00Z,2025-05-21T00:00:00Z,180,159,8,21,WH-01
PO10006,SUP-003,Supplier C,BR-2208,2025-05-03T00:00:00Z,2025-05-08T00:00:00Z,307,284,5,23,WH-03
PO10007,SUP-003,Supplier C,MN-5544,2025-06-17T00:00:00Z,2025-06-23T00:00:00Z,241,221,6,20,WH-01
PO10008,SUP-001,Supplier A,CL-7781,2025-07-21T00:00:00Z,2025-07-22T00:00:00Z,363,342,1,21,WH-01
PO10009,SUP-002,Supplier B,CL-7781,2024-11-22T00:00:00Z,2024-12-01T00:00:00Z,98,72,9,26,WH-01
PO10010,SUP-001,Supplier A,MN-5544,2024-05-15T00:00:00Z,2024-05-26T00:00:00Z,219,192,11,27,WH-01
PO10011,SUP-003,Supplier C,ZX-9910,2024-09-25T00:00:00Z,2024-09-28T00:00:00Z,104,102,3,2,WH-01
PO10012,SUP-003,Supplier C,MN-5544,2024-11-30T00:00:00Z,2024-12-05T00:00:00Z,356,350,5,6,WH-01
PO10013,SUP-001,Supplier A,ZX-9910,2026-01-04T00:00:00Z,2026-01-09T00:00:00Z,378,340,5,38,WH-01
PO10014,SUP-003,Supplier C,BR-2208,2025-04-04T00:00:00Z,2025-04-06T00:00:00Z,138,125,2,13,WH-03
PO10015,SUP-001,Supplier A,MN-5544,2025-12-02T00:00:00Z,2025-12-04T00:00:00Z,314,289,2,25,WH-01
PO10016,SUP-002,Supplier B,CL-7781,2024-06-12T00:00:00Z,2024-06-17T00:00:00Z,389,362,5,27,WH-01
PO10017,SUP-003,Supplier C,MN-5544,2024-05-15T00:00:00Z,2024-05-22T00:00:00Z,313,279,7,34,WH-01
PO10018,SUP-003,Supplier C,CL-7781,2025-08-10T00:00:00Z,2025-08-11T00:00:00Z,99,60,1,39,WH-01
PO10019,SUP-001,Supplier A,AX-4312,2025-08-29T00:00:00Z,2025-09-02T00:00:00Z,51,46,4,5,WH-01
PO10020,SUP-001,Supplier A,MN-5544,2025-12-01T00:00:00Z,2025-12-07T00:00:00Z,155,152,6,3,WH-01
PO10021,SUP-001,Supplier A,ZX-9910,2025-01-10T00:00:00Z,2025-01-16T00:00:00Z,240,223,6,17,WH-01
PO10022,SUP-002,Supplier B,CL-7781,2024-05-08T00:00:00Z,2024-05-18T00:00:00Z,93,60,10,33,WH-01
PO10023,SUP-003,Supplier C,AX-4312,2025-05-20T00:00:00Z,2025-05-30T00:00:00Z,319,289,10,30,WH-01
PO10024,SUP-002,Supplier B,ZX-9910,2024-09-03T00:00:00Z,2024-09-11T00:00:00Z,264,225,8,39,WH-01
PO10025,SUP-002,Supplier B,CL-7781,2025-05-14T00:00:00Z,2025-05-19T00:00:00Z,257,240,5,17,WH-01
PO10026,SUP-001,Supplier A,AX-4312,2025-03-13T00:00:00Z,2025-03-18T00:00:00Z,329,304,5,25,WH-01
PO10027,SUP-002,Supplier B,MN-5544,2024-05-29T00:00:00Z,2024-06-07T00:00:00Z,301,273,9,28,WH-01
PO10028,SUP-002,Supplier B,ZX-9910,2025-08-29T00:00:00Z,2025-08-30T00:00:00Z,394,388,1,6,WH-01
PO10029,SUP-001,Supplier A,BR-2208,2025-05-30T00:00:00Z,2025-06-08T00:00:00Z,393,393,9,0,WH-03
PO10030,SUP-003,Supplier C,CL-7781,2025-01-03T00:00:00Z,2025-01-11T00:00:00Z,112,102,8,10,WH-01
PO10031,SUP-002,Supplier B,MN-5544,2025-02-11T00:00:00Z,2025-02-14T00:00:00Z,130,123,3,7,WH-01
PO10032,SUP-002,Supplier B,CL-7781,2025-11-25T00:00:00Z,2025-11-28T00:00:00Z,338,334,3,4,WH-01
PO10033,SUP-002,Supplier B,MN-5544,2026-02-01T00:00:00Z,2026-02-11T00:00:00Z,280,253,10,27,WH-01
PO10034,SUP-002,Supplier B,CL-7781,2025-07-10T00:00:00Z,2025-07-17T00:00:00Z,250,243,7,7,WH-01
PO10035,SUP-003,Supplier C,AX-4312,2025-02-25T00:00:00Z,2025-02-27T00:00:00Z,82,60,2,22,WH-01
PO10036,SUP-001,Supplier A,ZX-9910,2025-06-03T00:00:00Z,2025-06-11T00:00:00Z,342,308,8,34,WH-01
