po_number,supplier_id,supplier_name,part_number,expected_date,received_date,qty_ordered,qty_received,inbound_lead_time_days,discrepancy_qty,warehouse_id
PO10000,SUP-003,Supplier C,CL-7781,15-01-2026,22-01-2026,398,384,7,14,WH-01
PO10001,SUP-003,Supplier C,MN-5544,20-11-2024,01-12-2024,121,101,11,20,WH-01
PO10002,SUP-003,Supplier C,ZX-9910,18-08-2025,25-08-2025,171,153,7,18,WH-01
PO10003,SUP-002,Supplier B,MN-5544,19-12-2024,26-12-2024,380,370,7,10,WH-01
PO10004,SUP-003,Supplier C,ZX-9910,07-03-2024,15-03-2024,149,110,8,39,WH-01
PO10005,SUP-002,Supplier B,ZX-9910,13-05-2025,21-05-2025,180,159,8,21,WH-01
PO10006,SUP-003,Supplier C,BR-2208,03-05-2025,08-05-2025,307,284,5,23,WH-03
PO10007,SUP-003,Supplier C,MN-5544,17-06-2025,23-06-2025,241,221,6,20,WH-01
PO10008,SUP-001,Supplier A,CL-7781,21-07-2025,22-07-2025,363,342,1,21,WH-01
PO10009,SUP-002,Supplier B,CL-7781,22-11-2024,01-12-2024,98,72,9,26,WH-01
PO10010,SUP-001,Supplier A,MN-5544,15-05-2024,26-05-2024,219,192,11,27,WH-01
PO10011,SUP-003,Supplier C,ZX-9910,25-09-2024,28-09-2024,104,102,3,2,WH-01
PO10012,SUP-003,Supplier C,MN-5544,30-11-2024,05-12-2024,356,350,5,6,WH-01
PO10013,SUP-001,Supplier A,ZX-9910,04-01-2026,09-01-2026,378,340,5,38,WH-01
PO10014,SUP-003,Supplier C,BR-2208,04-04-2025,06-04-2025,138,125,2,13,WH-03
PO10015,SUP-001,Supplier A,MN-5544,02-12-2025,04-12-2025,314,289,2,25,WH-01
PO10016,SUP-002,Supplier B,CL-7781,12-06-2024,17-06-2024,389,362,5,27,WH-01
PO10017,SUP-003,Supplier C,MN-5544,15-05-2024,22-05-2024,313,279,7,34,WH-01
PO10018,SUP-003,Supplier C,CL-7781,10-08-2025,11-08-2025,99,60,1,39,WH-01
PO10019,SUP-001,Supplier A,AX-4312,29-08-2025,02-09-2025,51,46,4,5,WH-01
PO10020,SUP-001,Supplier A,MN-5544,01-12-2025,07-12-2025,155,152,6,3,WH-01
PO10021,SUP-001,Supplier A,ZX-9910,10-01-2025,16-01-2025,240,223,6,17,WH-01
PO10022,SUP-002,Supplier B,CL-7781,08-05-2024,18-05-2024,93,60,10,33,WH-01
PO10023,SUP-003,Supplier C,AX-4312,20-05-2025,30-05-2025,319,289,10,30,WH-01
PO10024,SUP-002,Supplier B,ZX-9910,03-09-2024,11-09-2024,264,225,8,39,WH-01
PO10025,SUP-002,Supplier B,CL-7781,14-05-2025,19-05-2025,257,240,5,17,WH-01
PO10026,SUP-001,Supplier A,AX-4312,13-03-2025,18-03-2025,329,304,5,25,WH-01
PO10027,SUP-002,Supplier B,MN-5544,29-05-2024,07-06-2024,301,273,9,28,WH-01
PO10028,SUP-002,Supplier B,ZX-9910,29-08-2025,30-08-2025,394,388,1,6,WH-01
PO10029,SUP-001,Supplier A,BR-2208,30-05-2025,08-06-2025,393,393,9,0,WH-03
PO10030,SUP-003,Supplier C,CL-7781,03-01-2025,11-01-2025,112,102,8,10,WH-01
PO10031,SUP-002,Supplier B,MN-5544,11-02-2025,14-02-2025,130,123,3,7,WH-01
PO10032,SUP-002,Supplier B,CL-7781,25-11-2025,28-11-2025,338,334,3,4,WH-01
PO10033,SUP-002,Supplier B,MN-5544,01-02-2026,11-02-2026,280,253,10,27,WH-01
PO10034,SUP-002,Supplier B,CL-7781,10-07-2025,17-07-2025,250,243,7,7,WH-01
PO10035,SUP-003,Supplier C,AX-4312,25-02-2025,27-02-2025,82,60,2,22,WH-01
PO10036,SUP-001,Supplier A,ZX-9910,03-06-2025,11-06-2025,342,308,8,34,WH-01
PO10037,SUP-001,Supplier A,MN-5544,16-10-2025,24-10-2025,263,237,8,26,WH-01
PO10038,SUP-001,Supplier A,ZX-9910,08-06-2025,11-06-2025,276,240,3,36,WH-01
PO10039,SUP-002,Supplier B,AX-4312,20-02-2025,23-02-2025,306,302,3,4,WH-01
PO10040,SUP-001,Supplier A,MN-5544,17-07-2025,27-07-2025,304,291,10,13,WH-01
PO10041,SUP-003,Supplier C,CL-7781,19-02-2025,26-02-2025,332,324,7,8,WH-01
PO10042,SUP-003,Supplier C,BR-2208,01-01-2026,11-01-2026,91,79,10,12,WH-03
PO10043,SUP-001,Supplier A,MN-5544,04-05-2025,07-05-2025,112,81,3,31,WH-01
PO10044,SUP-002,Supplier B,CL-7781,02-01-2026,09-01-2026,290,259,7,31,WH-01
PO10045,SUP-002,Supplier B,CL-7781,04-08-2024,08-08-2024,271,235,4,36,WH-01
PO10046,SUP-001,Supplier A,AX-4312,29-04-2024,06-05-2024,280,266,7,14,WH-01
PO10047,SUP-003,Supplier C,BR-2208,26-10-2025,06-11-2025,78,43,11,35,WH-03
PO10048,SUP-001,Supplier A,ZX-9910,10-09-2024,17-09-2024,236,215,7,21,WH-01
PO10049,SUP-001,Supplier A,CL-7781,13-08-2024,15-08-2024,219,214,2,5,WH-01
PO10050,SUP-001,Supplier A,CL-7781,14-11-2024,18-11-2024,335,325,4,10,WH-01
PO10051,SUP-003,Supplier C,CL-7781,01-07-2024,11-07-2024,397,373,10,24,WH-01
PO10052,SUP-001,Supplier A,CL-7781,14-06-2024,21-06-2024,239,207,7,32,WH-01
PO10053,SUP-003,Supplier C,MN-5544,21-11-2025,22-11-2025,332,320,1,12,WH-01
PO10054,SUP-003,Supplier C,AX-4312,03-07-2025,12-07-2025,308,270,9,38,WH-01
PO10055,SUP-003,Supplier C,MN-5544,16-11-2024,22-11-2024,186,150,6,36,WH-01
PO10056,SUP-002,Supplier B,BR-2208,23-10-2024,24-10-2024,356,333,1,23,WH-03
PO10057,SUP-003,Supplier C,CL-7781,22-08-2024,02-09-2024,209,178,11,31,WH-01
PO10058,SUP-003,Supplier C,CL-7781,03-04-2024,11-04-2024,282,271,8,11,WH-01
PO10059,SUP-003,Supplier C,AX-4312,27-08-2024,03-09-2024,162,126,7,36,WH-01
PO10060,SUP-002,Supplier B,CL-7781,21-10-2024,22-10-2024,130,129,1,1,WH-01
PO10061,SUP-001,Supplier A,BR-2208,07-03-2025,09-03-2025,269,247,2,22,WH-03
PO10062,SUP-001,Supplier A,AX-4312,27-03-2025,01-04-2025,273,241,5,32,WH-01
PO10063,SUP-003,Supplier C,AX-4312,13-09-2024,14-09-2024,175,174,1,1,WH-01
PO10064,SUP-001,Supplier A,AX-4312,18-06-2025,23-06-2025,221,196,5,25,WH-01
