order_number,customer_id,customer_name,part_number,order_date,promise_date,shipped_date,qty_ordered,qty_shipped,backorder_qty,otif_flag,fill_rate,warehouse_id
SO20000,CUST-003,Customer Z,CL-7781,12-05-2025,14-05-2025,13-05-2025,25,25,0,1,1,WH-01
SO20001,CUST-003,Customer Z,ZX-9910,03-12-2025,06-12-2025,08-12-2025,24,15,9,0,0.625,WH-01
SO20002,CUST-001,Customer X,CL-7781,26-10-2024,29-10-2024,28-10-2024,38,38,0,1,1,WH-01
SO20003,CUST-003,Customer Z,BR-2208,07-09-2024,09-09-2024,10-09-2024,14,9,5,0,0.6428571428571429,WH-03
SO20004,CUST-002,Customer Y,AX-4312,13-06-2025,17-06-2025,16-06-2025,17,17,0,1,1,WH-01
SO20005,CUST-002,Customer Y,CL-7781,20-05-2024,21-05-2024,23-05-2024,19,19,0,0,1,WH-01
SO20006,CUST-003,Customer Z,BR-2208,07-04-2024,11-04-2024,12-04-2024,27,27,0,0,1,WH-03
SO20007,CUST-002,Customer Y,ZX-9910,04-08-2024,05-08-2024,05-08-2024,17,8,9,0,0.4705882352941176,WH-01
SO20008,CUST-001,Customer X,ZX-9910,20-08-2024,24-08-2024,25-08-2024,35,35,0,0,1,WH-01
SO20009,CUST-001,Customer X,AX-4312,06-04-2025,09-04-2025,08-04-2025,14,7,7,0,0.5,WH-02
SO20010,CUST-002,Customer Y,AX-4312,24-05-2024,25-05-2024,24-05-2024,9,4,5,0,0.4444444444444444,WH-01
SO20011,CUST-003,Customer Z,AX-4312,16-07-2025,18-07-2025,19-07-2025,21,18,3,0,0.8571428571428571,WH-01
SO20012,CUST-001,Customer X,ZX-9910,09-10-2025,13-10-2025,12-10-2025,6,2,4,0,0.3333333333333333,WH-01
SO20013,CUST-003,Customer Z,AX-4312,16-09-2024,17-09-2024,19-09-2024,29,27,2,0,0.9310344827586208,WH-01
SO20014,CUST-001,Customer X,ZX-9910,08-09-2024,09-09-2024,09-09-2024,27,18,9,0,0.6666666666666666,WH-01
SO20015,CUST-002,Customer Y,CL-7781,09-03-2025,11-03-2025,12-03-2025,14,9,5,0,0.6428571428571429,WH-01
SO20016,CUST-001,Customer X,CL-7781,27-09-2024,29-09-2024,29-09-2024,6,5,1,0,0.8333333333333334,WH-02
SO20017,CUST-003,Customer Z,ZX-9910,25-08-2025,29-08-2025,29-08-2025,20,20,0,1,1,WH-02
SO20018,CUST-001,Customer X,MN-5544,09-12-2025,10-12-2025,12-12-2025,17,13,4,0,0.7647058823529411,WH-02
SO20019,CUST-001,Customer X,MN-5544,14-08-2025,18-08-2025,20-08-2025,14,10,4,0,0.7142857142857143,WH-02
SO20020,CUST-003,Customer Z,ZX-9910,21-12-2025,23-12-2025,24-12-2025,15,11,4,0,0.7333333333333333,WH-02
SO20021,CUST-001,Customer X,ZX-9910,02-02-2025,05-02-2025,07-02-2025,24,20,4,0,0.8333333333333334,WH-01
SO20022,CUST-003,Customer Z,AX-4312,02-09-2025,04-09-2025,03-09-2025,14,13,1,0,0.9285714285714286,WH-01
SO20023,CUST-001,Customer X,BR-2208,31-07-2025,02-08-2025,02-08-2025,13,11,2,0,0.8461538461538461,WH-03
SO20024,CUST-002,Customer Y,BR-2208,26-04-2024,29-04-2024,29-04-2024,8,3,5,0,0.375,WH-03
SO20025,CUST-002,Customer Y,BR-2208,29-04-2024,01-05-2024,03-05-2024,30,24,6,0,0.8,WH-03
SO20026,CUST-001,Customer X,CL-7781,25-04-2024,26-04-2024,27-04-2024,10,2,8,0,0.2,WH-01
SO20027,CUST-002,Customer Y,MN-5544,26-05-2024,30-05-2024,31-05-2024,11,2,9,0,0.1818181818181818,WH-01
SO20028,CUST-003,Customer Z,BR-2208,12-04-2025,16-04-2025,16-04-2025,29,27,2,0,0.9310344827586208,WH-03
SO20029,CUST-003,Customer Z,BR-2208,16-07-2024,19-07-2024,19-07-2024,27,19,8,0,0.7037037037037037,WH-03
SO20030,CUST-002,Customer Y,ZX-9910,17-10-2024,19-10-2024,19-10-2024,20,12,8,0,0.6,WH-01
SO20031,CUST-003,Customer Z,BR-2208,09-10-2025,13-10-2025,12-10-2025,39,31,8,0,0.7948717948717948,WH-03
SO20032,CUST-001,Customer X,AX-4312,29-01-2025,30-01-2025,31-01-2025,25,20,5,0,0.8,WH-01
SO20033,CUST-001,Customer X,BR-2208,14-02-2025,16-02-2025,18-02-2025,6,1,5,0,0.1666666666666666,WH-03
SO20034,CUST-003,Customer Z,BR-2208,28-03-2024,01-04-2024,01-04-2024,32,28,4,0,0.875,WH-03
SO20035,CUST-002,Customer Y,MN-5544,12-08-2024,13-08-2024,12-08-2024,14,8,6,0,0.5714285714285714,WH-01
SO20036,CUST-001,Customer X,MN-5544,05-01-2025,09-01-2025,10-01-2025,14,9,5,0,0.6428571428571429,WH-01
SO20037,CUST-002,Customer Y,CL-7781,16-05-2024,20-05-2024,19-05-2024,21,19,2,0,0.9047619047619048,WH-01
SO20038,CUST-001,Customer X,BR-2208,30-04-2024,02-05-2024,03-05-2024,7,6,1,0,0.8571428571428571,WH-03
SO20039,CUST-002,Customer Y,AX-4312,12-01-2025,16-01-2025,17-01-2025,18,17,1,0,0.9444444444444444,WH-01
SO20040,CUST-001,Customer X,CL-7781,08-05-2024,09-05-2024,09-05-2024,35,26,9,0,0.7428571428571429,WH-01
SO20041,CUST-001,Customer X,MN-5544,22-03-2025,26-03-2025,26-03-2025,22,14,8,0,0.6363636363636364,WH-01
SO20042,CUST-003,Customer Z,AX-4312,01-08-2024,04-08-2024,03-08-2024,23,16,7,0,0.6956521739130435,WH-01
SO20043,CUST-003,Customer Z,CL-7781,07-08-2025,11-08-2025,13-08-2025,35,33,2,0,0.9428571428571428,WH-01
